"","category","name","price","ratings","no_of_reviews"
"153","Pencil","BIC Ecolutions Evolution 655 HB Pencil with Eraser (Pack of 12), Green","£0.22","4.5 out of 5 stars","3,285"
"154","Pencil","3 X Staedtler Noris School Pencils 121 - HB Grade [Pack of 36]","£11.99","4.5 out of 5 stars","55"
"155","Pencil","STAEDTLER 132 46BK5D Norica Eraser-Tipped Pencils (Pack of 5)","£3.49","4.7 out of 5 stars","1,627"
"156","Pencil","STAEDTLER Noris School Pencils 121 - HB Grade [Pack of 36]","£0.70","4.6 out of 5 stars","6,958"
"157","Pencil","BIC Matic Fun, HB Mechanical Pencils and Eraser, Assorted Barrel Colours with Fine ,Yellow,Blue,Green,White,Pink,Point (0.7mm), Pack of 5,Yellow,Blue,Green,White,Pink","£4.44","4.7 out of 5 stars","4,151"
"158","Pencil","BIC Evolution Original Pencils - Pack of 10 - All-Purpose, Extra- Resistant Erasable Pencils for Easy Drawing and Writing, black","£9.49","4.5 out of 5 stars","4,129"
"159","Pencil","BIC Matic HB Mechanical Pencils and Eraser, Assorted Barrel Colours with Fine Point (0.9 mm), Pack of 12, Yellow,Orange,White,Pink","£0.32","4.6 out of 5 stars","1,949"
"160","Pencil","Just stationery,10 Count (Pack of 1),6346 HB Pencil with Sharpener (Pack of 10),Package May Vary","£9.76","4.5 out of 5 stars","329"
"161","Pencil","Paper Mate Non-Stop Mechanical Pencil | 0.7mm | HB #2 | Yellow Barrel | 12 Count","£8.99","4.6 out of 5 stars","5,608"
"162","Pencil","Bic Matic Original Mechanical Pencils, Perfect for School and Office Use, 0.7 mm Black (HB), Includes 3 HB Lead Refills and Eraser, 12 Count (Pack of 1)","£9.99","4.7 out of 5 stars","5,586"
"163","Pencil","Staedtler Noris School Pencils 121 - 2H Grade [Pack of 36]","£2.85","4.7 out of 5 stars","620"
"164","Pencil","BIC Velocity Pro Refillable Mechanical Pencils - Black - Box of 12 (3 HB) Lead Pencils 0.7 mm with Eraser","£0.24","4.5 out of 5 stars","120"
"165","Pencil","rOtring Rapid Pro Mechanical Pencil | HB 0.7 mm Lead Propelling Pencil | Reduced Lead Breakage | Matte Black Full-Metal Barrel","£3.49","4.8 out of 5 stars","5,086"
"166","Pencil","Pack of 12 Paper Mate Non Stop Mechanical Pencils","£0.70","4.7 out of 5 stars","165"
"167","Pencil","SOL 64pk HB Pencils With Rubbers On The End | HB Pencil Pack with Erasers | Writing Pencils for Children I Kids Pencils for School Supplies I School Pencils for Party Bag | Pack of Pencils","£7.99","4.3 out of 5 stars","32"
"168","Pencil","SOL 32pk HB Pencils With Rubbers On The End | HB Pencil Pack with Erasers | Writing Pencils for Children I Kids Pencils for School Supplies I School Pencils for Party Bag | Pack of Pencils Sticker","£0.22","4.1 out of 5 stars","338"
"169","Pencil","Q-Connect Half Pencil (Pack of 144) ,Grey","£8.50","4.6 out of 5 stars","1,601"
"170","Pencil","OFFCUP Everlasting Pencil, 5pcs Infinity Pencil with Eraser and Replacement Nibs, Reusable Inkless Pencil for Writing, Drawing, Students Home Office School Supplies (Light Color)","£3.00","4.3 out of 5 stars","292"
"171","Pencil","Faber-Castell Apollo 0.7mm Mechanical Pencil - Dark Blue","£0.60","4.6 out of 5 stars","5,074"
"172","Pencil","STAEDTLER 122-2BK10D Noris HB Eraser-Tip Pencil (Blister of 10)","£4.39","4.7 out of 5 stars","995"
"173","Pencil","Nicpro Metal Mechanical Pencils Set with Case, Automatic Retractable Drafting Pencil 0.5 mm and 0.7 mm With HB Leads Refill, Erasers Propelling Pencils For School Engineer Writing, Drawing, Sketching","£6.43","4.6 out of 5 stars","3,780"
"174","Pencil","Staedtler 120 SBK8P1 Noris Graphite Pencil - HB Degree (Pack of 8 Pencils + Sharpener + Eraser)","£0.64","4.7 out of 5 stars","108"
"175","Pencil","FABER-CASTELL Grip 2001 Pencils HB Pack of 6,Silver","£8.49","4.6 out of 5 stars","1,006"
"176","Pencil","WXJ13 100 Pieces Mini Pencils HB Pencils Golf Pencils with Rubbers Pre-sharpened Pencils Half Pencils Small Pencils with Erasers for Writing Drawing, With 4 PCS Pencil Sharpner","£0.71","4.8 out of 5 stars","6"
"177","Pencil","Classmaster HB Graphite Pencils with Eraser Tips 144-Pieces","£3.32","4.6 out of 5 stars","1,455"
"178","Pencil","BIC Evolution Graphite Pencils - Pack of 8 - HB Pencils with Eraser - Colourful Stripe Design and Shock-Resistant Lead","£0.33","4.6 out of 5 stars","1,925"
"179","Pencil","STAEDTLER 121 Noris School Pencils with Mini Eraser + Sharpener - Pack of 12","£9.61","4.6 out of 5 stars","49"
"180","Pencil","Ailvor HB Pencils, 30pcs Pencils with Rubbers, Presharpened Pencil with 4pcs Pen holders for School Children Handwriting and Drawing","£10.92","4.6 out of 5 stars","580"
"181","Pencil","STAEDTLER 61 120 C6 Noris Graphite Pencils - Sketch Set (Pack of 6 Pencils in Assorted Grades, Eraser & FREE Sharpener)","£8.11","4.7 out of 5 stars","19"
"182","Pencil","Helix Oxford Hb Grade Graphite Pencils (Pack of 12) with Plastic Free Packaging","£0.68","4.7 out of 5 stars","3,541"
"183","Pencil","10 x Eco Essentials Eco HB Wood Pencils with Eraser On Top Sustainably Sourced Ideal for Home School Office","£10.50","4.6 out of 5 stars","157"
"184","Pencil","BIC Matic ECOlutions Mechanical Pencils - Box of 50 with Assorted Barrel Colours - 0.7 mm HB Friendly Pencils with Resistant Leads, black","£0.29","4.6 out of 5 stars","556"
"185","Pencil","Nicpro 6PCS Mechanical Pencils Set, 3 PCS 2mm Lead Holder (2B HB 2H), Clutch Propelling Drafting Pencil 0.5 mm & 0.7 mm & 0.9 mm for Writing,Sketching Drawing with 12 Tube Lead Refills Case","£14.65","4.7 out of 5 stars","9,328"
"186","Pencil","Ergonomic Graphite Pencil - STABILO EASYgraph - Right-Handed - Pack of 12 - Petrol - HB","£1.22","4.8 out of 5 stars","1,616"
"187","Pencil","Q-Connect HB Rubber Tipped Office Pencil (12 Pack)","£19.92","4.3 out of 5 stars","44"
"188","Pencil","Mechanical pencil Pentel PG1013-E GraphGear1000, line width 0.3 mm, rubber (Z2-1N), 1 piece","£28.75","4.6 out of 5 stars","10,336"
"189","Pencil","Eziglide HB Pencils, 12 Pack of Hexagonal Graphite Pencils, Break Resistant Super Bonded HB Lead Pencil, Ideal Drawing Pencils for School Essentials, Home Sketching Pencils or Office Writing Pencils","£10.98","4.5 out of 5 stars","69"
"190","Pencil","Four Candies 0.5mm Mechanical Pencil Set with Case - 4PCS Metal Mechanical Pencils, 8 Tubes HB #2 Lead Refills, 3PCS Erasers and 9PCS Eraser Refills, Lead Pencils Mechanical for Writing & Drawing","£0.92","4.6 out of 5 stars","1,342"
"191","Pencil","STAEDTLER 121-2 BK5D Noris School Graphite Pencils - HB Degree (Pack of 5), Black","£2.00","4.7 out of 5 stars","12,526"
"192","Pencil","12 HB Pencils for Children | Pencils for School | Kids Writing Pencils | Hexagonal | Wood Cased | Everyday Office use (Black Lead, 12)","£0.40","4.6 out of 5 stars","2,868"
"193","Pencil","STAEDTLER NORIS SCHOOL PENCILS HB [Box of 18]","£2.75","4.6 out of 5 stars","706"
"194","Pencil","STAEDTLER NORIS SCHOOL PENCILS HB [PACK OF 50) LOOSE","£5.71","4.6 out of 5 stars","1,876"
"195","Pencil","STAEDTLER 120-2 BK5D Noris HB Pencils, 5 Count (Pack of 1), Yellow, Black","£0.32","4.7 out of 5 stars","12,690"
"196","Pencil","Amazon Basics Presharpened Wood Cased #2 HB Pencils, 30 Pack, Orange","£5.89","4.7 out of 5 stars","81,425"
"197","Pencil","Nicpro 2mm Mechanical Pencil Set, 3 PCS Artist Propelling Drafting Clutch Pencil 2.0 mm for Art Drawing Writing Sketching with 6 Tube HB & 2B Refill, Eraser, Sharpener, Propelling Lead Holder","£10.99","4.5 out of 5 stars","2,902"
"198","Pencil","BIC Ecolutions Evolution 655 HB Pencil with Eraser (Pack of 12), Green","£0.22","4.5 out of 5 stars","3,285"
"199","Pencil","3 X Staedtler Noris School Pencils 121 - HB Grade [Pack of 36]","£11.99","4.5 out of 5 stars","55"
"200","Pencil","STAEDTLER 132 46BK5D Norica Eraser-Tipped Pencils (Pack of 5)","£3.49","4.7 out of 5 stars","1,627"
